channel	date	total_viewership_hours	rank
SSC Extra 1 HD	2024-01-01	47.849999999998566	1
MBC Action	2024-01-01	23.983333333333253	2
SSC Extra 2	2024-01-01	23.91666666666659	3
Saudi 1 HD	2024-01-01	19.31666666666685	4
Al Arabiya	2024-01-01	12.616666666666873	5
MBC Action HD	2024-01-01	6.749999999999981	6
ALSahraa HD	2024-01-01	5.916666666666651	7
SAUDI CH For Quran HD	2024-01-01	5.033333333333321	8
MBC1	2024-01-01	4.416666666666656	9
Al Hadath	2024-01-01	4.149999999999991	10
SSC Extra 1 HD	2024-01-02	47.99999999999856	1
MBC Action	2024-01-02	24.016666666666584	2
SSC Extra 2	2024-01-02	23.99999999999992	3
ALSahraa HD	2024-01-02	18.50000000000023	4
Saudi 1 HD	2024-01-02	13.383333333333578	5
MBC1	2024-01-02	9.450000000000049	6
Al Arabiya	2024-01-02	9.250000000000039	7
MBC Action HD	2024-01-02	6.599999999999982	8
MBC IRAQ	2024-01-02	3.349999999999993	9
MBC MAX	2024-01-02	3.133333333333327	10
SSC Extra 1 HD	2024-01-03	47.99999999999856	1
SSC Extra 2	2024-01-03	24.049999999999915	2
MBC Action	2024-01-03	23.99999999999992	3
Saudi 1 HD	2024-01-03	16.40000000000035	4
Al Arabiya	2024-01-03	15.866666666667035	5
MBC1	2024-01-03	6.516666666666649	6
MBC Drama	2024-01-03	5.699999999999985	7
ALSahraa HD	2024-01-03	5.083333333333321	8
MBC Action HD	2024-01-03	4.683333333333322	9
MBC MAX	2024-01-03	3.6666666666666585	10
SSC Extra 1 HD	2024-01-04	47.99999999999856	1
MBC Action	2024-01-04	24.016666666666584	2
SSC Extra 2	2024-01-04	23.99999999999992	3
Al Arabiya	2024-01-04	15.183333333333668	4
ALSahraa HD	2024-01-04	14.83333333333365	5
Saudi 1 HD	2024-01-04	13.933333333333605	6
MBC1	2024-01-04	8.11666666666665	7
MBC Drama	2024-01-04	6.2333333333333165	8
GOBX Marhaba	2024-01-04	4.599999999999989	9
MBC MAX	2024-01-04	4.016666666666658	10
SSC Extra 1 HD	2024-01-05	31.9333333333328	1
MBC Action	2024-01-05	23.99999999999992	2
SSC Extra 2	2024-01-05	23.99999999999992	2
MBC3	2024-01-05	23.99999999999992	2
MBC1	2024-01-05	20.65000000000011	3
Saudi 1 HD	2024-01-05	16.033333333333704	4
GOBX Marhaba	2024-01-05	14.116666666666948	5
Al Arabiya	2024-01-05	11.100000000000131	6
ALSahraa HD	2024-01-05	9.666666666666726	7
SSC News HD	2024-01-05	9.500000000000052	8
MBC1 HD	2024-01-05	6.399999999999983	9
MBC Drama	2024-01-05	5.716666666666652	10
GOBX Marhaba	2024-01-06	26.0999999999998	1
MBC3	2024-01-06	24.64999999999988	2
MBC Action	2024-01-06	24.26666666666657	3
MBC1 HD	2024-01-06	24.016666666666584	4
Al Arabiya	2024-01-06	23.99999999999992	5
ALSahraa HD	2024-01-06	14.416666666666963	6
Saudi 1 HD	2024-01-06	14.066666666666945	7
MBC1	2024-01-06	13.483333333333583	8
MBC2	2024-01-06	13.200000000000236	9
MBC Max HD	2024-01-06	12.133333333333516	10
Al Arabiya	2024-01-07	30.09999999999957	1
SSC 1 HD	2024-01-07	27.549999999999716	2
GOBX Marhaba	2024-01-07	26.066666666666467	3
MBC1 HD	2024-01-07	23.983333333333253	4
MBC Action	2024-01-07	23.866666666666593	5
Saudi 1 HD	2024-01-07	20.900000000000095	6
MBC2	2024-01-07	14.666666666666975	7
MBC Max HD	2024-01-07	11.600000000000156	8
ALSahraa HD	2024-01-07	11.000000000000126	9
MBC1	2024-01-07	6.016666666666651	10
